722 2793
92.3957595825 80.0 7.70688772202
89.9303359985 80.0 18.3566551208
92.7006454468 80.0 28.8894500732
90.0648040771 80.0 40.401725769
92.7792816162 80.0 51.3238067627
90.3428726196 80.0 63.0455589294
93.4436950684 80.0 74.0010147095
92.5197601318 80.0 86.3826751709
83.1178894043 80.0 9.15639591217
72.0343017578 80.0 9.63474082947
60.7452926636 80.0 9.75142097473
49.4172363281 80.0 9.76321983337
38.0009841919 80.0 9.70577049255
26.1571598053 80.0 9.4068069458
12.5345544815 80.0 8.21013641357
77.8269729614 80.0 19.541009903
83.380569458 80.0 29.9325294495
66.2869873047 80.0 19.9160346985
71.9907531738 80.0 30.616765976
77.9553451538 80.0 41.6025428772
83.520401001 80.0 52.55884552
66.2992858887 80.0 42.0617866516
72.1406707764 80.0 53.3962745667
54.8145713806 80.0 19.996131897
60.4503860474 80.0 30.8260269165
43.293422699 80.0 19.9738407135
48.8791503906 80.0 30.8495159149
54.7100944519 80.0 42.1689414978
60.5770988464 80.0 53.6639213562
43.0796470642 80.0 42.1415100098
48.9771232605 80.0 53.6952972412
78.4168701172 80.0 64.5576400757
84.7006454468 80.0 75.5609970093
66.8272705078 80.0 65.1346969604
73.5558929443 80.0 76.5168609619
81.0838623047 80.0 87.8925094604
69.7610778809 80.0 88.3262786865
55.271900177 80.0 65.2726364136
62.1208953857 80.0 76.808921814
43.6701927185 80.0 65.2373199463
50.6352157593 80.0 76.8481674194
58.4428253174 80.0 88.4213027954
47.0954856873 80.0 88.4107131958
31.5666465759 80.0 19.7846851349
37.1997528076 80.0 30.7550163269
19.3765964508 80.0 19.1237125397
25.0580177307 80.0 30.3383998871
31.2544631958 80.0 41.9065704346
37.2689056396 80.0 53.5727462769
19.0436687469 80.0 41.1644630432
25.0998516083 80.0 53.0611610413
8.75013065338 80.0 17.9742012024
11.625711441 80.0 29.2177066803
8.54625511169 80.0 40.06275177
11.6429433823 80.0 51.7185668945
31.855091095 80.0 64.9719390869
39.04114151 80.0 76.7469558716
19.5502853394 80.0 64.1092300415
26.9179325104 80.0 76.3071899414
35.6107330322 80.0 88.307182312
23.6837902069 80.0 88.044052124
8.81765460968 80.0 62.7081031799
12.8843927383 80.0 74.9481811523
11.6116828918 80.0 88.3131866455
70.0 33.9402160645 7.70246553421
70.0 22.6017627716 9.11513900757
70.0 10.4578361511 9.59379863739
70.0 34.544178009 18.2648677826
70.0 39.4227333069 28.7990074158
70.0 19.1670837402 19.0425624847
70.0 26.7973976135 29.4994525909
70.0 36.1084098816 40.1770248413
70.0 39.7577934265 51.1799354553
70.0 20.4436855316 40.6207809448
70.0 27.2566013336 51.9301719666
70.0 8.33502578735 18.2500152588
70.0 11.8983011246 29.1081943512
70.0 8.8476934433 39.9510269165
70.0 12.1399049759 51.4563789368
70.0 36.1646080017 62.7812004089
